expiry_days,expiry_years,strike,moneyness,option_type,market_price,use_for_iv,iv,pct_error_flat_vol,pct_error_svi_vol
2,0.005479452054794521,671.0,0.8956578817980608,put,0.04,True,0.5676022758329788,99.9927318462231,4.241818123908915
2,0.005479452054794521,672.0,0.8969926923521563,put,0.04,True,0.5607076985187234,99.98988774718954,1.8458891538929676
2,0.005479452054794521,673.0,0.8983275029062519,put,0.04,True,0.5538161377889819,99.98599186721198,0.6368029572024515
2,0.005479452054794521,674.0,0.8996623134603473,put,0.05,True,0.5603622857920846,99.98454312749041,17.43110869347789
2,0.005479452054794521,675.0,0.9009971240144428,put,0.04,True,0.5400415306310654,99.97346539526245,5.882258745760847
2,0.005479452054794521,676.0,0.9023319345685382,put,0.03,True,0.5173247411361387,99.95161926216937,44.87445469157183
2,0.005479452054794521,677.0,0.9036667451226337,put,0.05,True,0.5392929244932833,99.96047284448898,10.769688325456356
2,0.005479452054794521,678.0,0.9050015556767291,put,0.05,True,0.532274364527089,99.94640446049671,8.372083507907218
2,0.005479452054794521,679.0,0.9063363662308246,put,0.05,True,0.5252577316188953,99.92763416692263,5.876916201604493
2,0.005479452054794521,680.0,0.90767117678492,put,0.05,True,0.5182429020250727,99.90269819252391,3.2781491448309605
2,0.005479452054794521,681.0,0.9090059873390156,put,0.05,True,0.5112296865402787,99.8697129425098,0.5692633095616684
2,0.005479452054794521,682.0,0.9103407978931111,put,0.05,True,0.5042180385651835,99.82626581102839,2.256787518378184
2,0.005479452054794521,683.0,0.9116756084472065,put,0.05,True,0.4972076858088287,99.76928087529993,5.207627071555615
2,0.005479452054794521,684.0,0.913010419001302,put,0.05,True,0.4901986569404891,99.69485458304358,8.29151244275081
2,0.005479452054794521,685.0,0.9143452295553974,put,0.05,True,0.4831901408818115,99.59805581749478,11.517396114233941
2,0.005479452054794521,686.0,0.9156800401094929,put,0.06,True,0.48634955621786724,99.56056995144245,4.2541708793748345
2,0.005479452054794521,687.0,0.9170148506635883,put,0.06,True,0.47922088073336605,99.42581466242115,1.304277508750451
2,0.005479452054794521,688.0,0.9183496612176839,put,0.06,True,0.4720923228859536,99.25272179156322,1.7904142914716241
2,0.005479452054794521,689.0,0.9196844717717794,put,0.06,True,0.46496364984510125,99.03129571802413,5.04032732405448
2,0.005479452054794521,690.0,0.9210192823258748,put,0.06,True,0.4578347508540252,98.74919488396029,8.456825508943908
2,0.005479452054794521,691.0,0.9223540928799703,put,0.06,True,0.4507052576466505,98.39125025260908,12.052313569671236
2,0.005479452054794521,692.0,0.9236889034340657,put,0.06,True,0.44357498282730007,97.9389018407265,15.840348752951355
2,0.005479452054794521,693.0,0.9250237139881612,put,0.06,True,0.43644368060185557,97.36954320700208,19.83576620003452
2,0.005479452054794521,694.0,0.9263585245422566,put,0.08,True,0.44486733665499334,97.49182250356597,6.958885130874306
2,0.005479452054794521,695.0,0.9276933350963521,put,0.07,True,0.4302334332148158,96.36955008332558,10.156006428886286
2,0.005479452054794521,696.0,0.9290281456504477,put,0.07,True,0.42298810989702246,95.41935942680482,14.203071133258344
2,0.005479452054794521,697.0,0.9303629562045431,put,0.08,True,0.42283668443536415,94.96190043876757,3.680818091519409
2,0.005479452054794521,698.0,0.9316977667586386,put,0.09,True,0.4219087322161886,94.39178501829444,4.298937474064322
2,0.005479452054794521,699.0,0.933032577312734,put,0.08,True,0.40813495636480085,92.1281490285084,11.89594811333636
2,0.005479452054794521,700.0,0.9343673878668295,put,0.09,True,0.40701963337139674,91.30189476264259,3.4660056016514513
2,0.005479452054794521,701.0,0.935702198420925,put,0.1,True,0.40527273609682407,90.30429141207432,3.041920963648442
2,0.005479452054794521,702.0,0.9370370089750204,put,0.09,True,0.39211314287729326,86.70546917756634,12.282253705914398
